Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
1,T-Series,245000000,228000000000,Music,20082,India,IN,Music,2258000000,564600,9000000,6800000,108400000,2006,Mar,13,28.1,20.593684,78.96288
2,YouTube Movies,170000000,0,Film & Animation,1,United States,US,Games,12,0,0.05,0.04,1,2006,Mar,5,88.2,37.09024,-95.712891
3,MrBeast,166000000,28368841870,Entertainment,741,United States,US,Entertainment,1348000000,337000,5400000,4000000,64700000,2012,Feb,20,88.2,37.09024,-95.712891
4,Cocomelon - Nursery Rhymes,162000000,164000000000,Education,966,United States,US,Education,1975000000,493800,7900000,5900000,94800000,2006,Sep,1,88.2,37.09024,-95.712891
5,SET India,159000000,148000000000,Shows,116536,India,IN,Entertainment,1824000000,455900,7300000,5500000,87500000,2006,Sep,20,28.1,20.593684,78.96288
6,Music,119000000,0,nan,0,nan,nan,Music,nan,0,0,0,0,2013,Sep,24,nan,nan,nan
7,ýýý Kids Diana Show,112000000,93247040539,People & Blogs,1111,United States,US,Entertainment,731674000,182900,2900000,2200000,35100000,2015,May,12,88.2,37.09024,-95.712891
8,PewDiePie,111000000,29058044447,Gaming,4716,Japan,JP,Entertainment,39184000,9800,156700,117600,1900000,2010,Apr,29,63.2,36.204824,138.252924
9,Like Nastya,106000000,90479060027,People & Blogs,493,Russia,RU,People,48947000,12200,195800,146800,2300000,2016,Jan,14,81.9,61.52401,105.318756
10,Vlad and Niki,98900000,77180169894,Entertainment,574,United States,US,Entertainment,580574000,145100,2300000,1700000,27900000,2018,Apr,23,88.2,37.09024,-95.712891
11,Zee Music Company,96700000,57856289381,Music,8548,India,IN,Music,803613000,200900,3200000,2400000,38600000,2014,Mar,12,28.1,20.593684,78.96288
12,WWE,96000000,77428473662,Sports,70127,United States,US,Sports,714614000,178700,2900000,2100000,34300000,2007,May,11,88.2,37.09024,-95.712891
13,Gaming,93600000,0,nan,0,nan,nan,Games,nan,0,0,0,0,2013,Dec,15,nan,nan,nan
14,BLACKPINK,89800000,32144597566,People & Blogs,543,South Korea,KR,Music,498930000,124700,2000000,1500000,23900000,2016,Jun,29,94.3,35.907757,127.766922
15,Goldmines,86900000,24118230580,Film & Animation,1,nan,nan,Music,18,0,0.07,0.05,1,2006,Aug,15,nan,nan,nan
16,Sony SAB,83000000,101000000000,Shows,71270,India,IN,Entertainment,1657000000,414300,6600000,5000000,79600000,2007,Aug,4,28.1,20.593684,78.96288
17,5-Minute Crafts,80100000,26236790209,Howto & Style,1,United Kingdom,GB,Entertainment,1,0,0,0,0,2020,Jul,27,60,55.378051,-3.435973
18,BANGTANTV,75600000,20826993957,Music,2281,South Korea,KR,Music,168290000,42100,673200,504900,8100000,2012,Dec,17,94.3,35.907757,127.766922
