Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
1,TSeries,245000000,228000000000,Music,20082,India,IN,Music,2258000000.0,564600.0,9000000.0,6800000.0,108400000,2006.0,Mar,13.0,28.1,20.593684,78.96288
2,YouTube Movies,170000000,0,Film  Animation,1,United States,US,Games,12.0,0.0,0.05,0.04,1,2006.0,Mar,5.0,88.2,37.09024,-95.712891
3,MrBeast,166000000,28368841870,Entertainment,741,United States,US,Entertainment,1348000000.0,337000.0,5400000.0,4000000.0,64700000,2012.0,Feb,20.0,88.2,37.09024,-95.712891
4,Cocomelon  Nursery Rhymes,162000000,164000000000,Education,966,United States,US,Education,1975000000.0,493800.0,7900000.0,5900000.0,94800000,2006.0,Sep,1.0,88.2,37.09024,-95.712891
5,SET India,159000000,148000000000,Shows,116536,India,IN,Entertainment,1824000000.0,455900.0,7300000.0,5500000.0,87500000,2006.0,Sep,20.0,28.1,20.593684,78.96288
7, Kids Diana Show,112000000,93247040539,People  Blogs,1111,United States,US,Entertainment,731674000.0,182900.0,2900000.0,2200000.0,35100000,2015.0,May,12.0,88.2,37.09024,-95.712891
8,PewDiePie,111000000,29058044447,Gaming,4716,Japan,JP,Entertainment,39184000.0,9800.0,156700.0,117600.0,1900000,2010.0,Apr,29.0,63.2,36.204824,138.252924
9,Like Nastya,106000000,90479060027,People  Blogs,493,Russia,RU,People,48947000.0,12200.0,195800.0,146800.0,2300000,2016.0,Jan,14.0,81.9,61.52401,105.318756
10,Vlad and Niki,98900000,77180169894,Entertainment,574,United States,US,Entertainment,580574000.0,145100.0,2300000.0,1700000.0,27900000,2018.0,Apr,23.0,88.2,37.09024,-95.712891
11,Zee Music Company,96700000,57856289381,Music,8548,India,IN,Music,803613000.0,200900.0,3200000.0,2400000.0,38600000,2014.0,Mar,12.0,28.1,20.593684,78.96288
12,WWE,96000000,77428473662,Sports,70127,United States,US,Sports,714614000.0,178700.0,2900000.0,2100000.0,34300000,2007.0,May,11.0,88.2,37.09024,-95.712891
14,BLACKPINK,89800000,32144597566,People  Blogs,543,South Korea,KR,Music,498930000.0,124700.0,2000000.0,1500000.0,23900000,2016.0,Jun,29.0,94.3,35.907757,127.766922
16,Sony SAB,83000000,101000000000,Shows,71270,India,IN,Entertainment,1657000000.0,414300.0,6600000.0,5000000.0,79600000,2007.0,Aug,4.0,28.1,20.593684,78.96288
17,5Minute Crafts,80100000,26236790209,Howto  Style,1,United Kingdom,GB,Entertainment,1.0,0.0,0.0,0.0,0,2020.0,Jul,27.0,60.0,55.378051,-3.435973
18,BANGTANTV,75600000,20826993957,Music,2281,South Korea,KR,Music,168290000.0,42100.0,673200.0,504900.0,8100000,2012.0,Dec,17.0,94.3,35.907757,127.766922
20,Justin Bieber,71600000,30608119724,Music,249,Canada,CA,Music,176326000.0,44100.0,705300.0,529000.0,8500000,2007.0,Jan,15.0,68.9,56.130366,-106.346771
21,HYBE LABELS,71300000,28634566938,Music,1337,South Korea,KR,Music,598173000.0,149500.0,2400000.0,1800000.0,28700000,2008.0,Jun,4.0,94.3,35.907757,127.766922
22,Zee TV,70500000,73139054467,Entertainment,129204,India,IN,Entertainment,1707000000.0,426800.0,6800000.0,5100000.0,81900000,2005.0,Dec,11.0,28.1,20.593684,78.96288
23,Pinkfong Baby Shark  Kids Songs  Stories,68200000,38843229963,Education,2865,United States,US,Education,473387000.0,118300.0,1900000.0,1400000.0,22700000,2011.0,Dec,14.0,88.2,37.09024,-95.712891
24,Canal KondZilla,66500000,36775585925,Music,2572,Brazil,BR,Music,447223000.0,0.0,0.0,0.0,0,2012.0,Mar,21.0,51.3,-14.235004,-51.92528
25,ChuChu TV Nursery Rhymes  Kids Songs,65900000,45757850229,Education,633,India,IN,Education,420292000.0,105100.0,1700000.0,1300000.0,20200000,2013.0,Feb,9.0,28.1,20.593684,78.96288
26,Shemaroo Filmi Gaane,65600000,28648024439,Music,8502,India,IN,Music,254961000.0,63700.0,1000000.0,764900.0,12200000,2010.0,Jun,11.0,28.1,20.593684,78.96288
27,Colors TV,64600000,61510906457,Shows,112915,India,IN,Entertainment,1188000000.0,296900.0,4800000.0,3600000.0,57000000,2008.0,Jun,13.0,28.1,20.593684,78.96288
28,TSeries Bhakti Sagar,61000000,29533230328,Music,13,India,IN,Music,10.0,0.0,0.04,0.03,0,2018.0,Aug,3.0,28.1,20.593684,78.96288
29,Dude Perfect,59500000,16241549158,Sports,389,United States,US,Sports,141200000.0,35300.0,564800.0,423600.0,6800000,2009.0,Mar,17.0,88.2,37.09024,-95.712891
30,Movieclips,59500000,59316472754,Film  Animation,39113,United States,US,Film,114668000.0,28700.0,458700.0,344000.0,5500000,2006.0,Apr,28.0,88.2,37.09024,-95.712891
31,Tips Official,59300000,33431802698,Music,4741,India,IN,Music,422634000.0,105700.0,1700000.0,1300000.0,20300000,2007.0,May,22.0,28.1,20.593684,78.96288
32,El Reino Infantil,58400000,57271630846,Music,1510,Argentina,AR,Music,611828000.0,153000.0,2400000.0,1800000.0,29400000,2011.0,Jun,2.0,90.0,-38.416097,-63.616672
33,Wave Music,58000000,40602020243,Music,19487,India,IN,Music,232025000.0,58000.0,928100.0,696100.0,11100000,2014.0,Oct,29.0,28.1,20.593684,78.96288
34,Aaj Tak,57600000,25307753534,News  Politics,283775,India,IN,News,461148000.0,115300.0,1800000.0,1400000.0,22100000,2009.0,Aug,27.0,28.1,20.593684,78.96288
35,Sony Music India,57200000,28837144516,Music,3882,India,IN,Music,259310000.0,64800.0,1000000.0,777900.0,12400000,2009.0,Sep,2.0,28.1,20.593684,78.96288
36,EminemMusic,56900000,27073872856,Music,156,United States,US,Music,260193000.0,65000.0,1000000.0,780600.0,12500000,2007.0,Feb,9.0,88.2,37.09024,-95.712891
37,Marshmello,56400000,14696003229,Entertainment,436,United States,US,Music,112100000.0,28000.0,448400.0,336300.0,5400000,2015.0,Apr,6.0,88.2,37.09024,-95.712891
38,YRF,54600000,35302243691,Film  Animation,3707,India,IN,Music,512093000.0,128000.0,2000000.0,1500000.0,24600000,2006.0,Jun,7.0,28.1,20.593684,78.96288
40,Ed Sheeran,53500000,30367676736,Music,383,United Kingdom,GB,Music,202720000.0,50700.0,810900.0,608200.0,9700000,2006.0,Aug,8.0,60.0,55.378051,-3.435973
